Code Fragments,phenotype,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count,Epoch Complete
[dc][dc][dc][D3 ~][dc][dc][dc][dc][dc][dc][dc][dc][dc][D1 D8 nand D8 ~ nor][dc][dc][D1][dc][D0 D8 nand][D2 ~ D13 D1 nor |],1.0,1.0,1.0,1,63.025856920378075,99895,44912,0.25,0.0004903835286110956,1772,1772,False
[dc][dc][dc][D3 ~][dc][dc][dc][dc][dc][dc][dc][dc][dc][D1 D8 nand D8 ~ nor][dc][dc][dc][dc][D0 D8 nand][D2 ~ D13 D1 nor |],1.0,1.0,1.0,6,63.025856920378075,99895,46740,0.2,0.002942301171666573,1710,1710,False
[D2 ~][dc][dc][D3 ~][dc][D1 D6 nor][D19 D14 nand ~ D0 D0 & D1 ~ nand | D7 D0 | ~ nor D0 nor][dc][dc][dc][dc][dc][dc][dc][dc][D2 ~ D1 D18 D4 | & D18 ~ D1 D17 nor nor ~ & D4 ~ | nand][dc][D1 ~][dc][dc],1.0,1.0,1.0,4,45.95676591236686,99850,47392,0.3,0.0014302981114644008,807,807,False
[dc][dc][dc][dc][dc][D10 D1 nand ~][dc][dc][D0 ~][dc][dc][dc][dc][D10 D16 ~ | D3 D1 nand &][dc][dc][dc][dc][D2][dc],1.0,1.0,1.0,3,60.91915217143979,99984,51125,0.2,0.001421975849034488,1508,1508,False
[D1 ~][D0][dc][dc][dc][D2 D4 & D3 D13 & nor][D18 D3 & D2 ~ D12 nand |][dc][dc][dc][dc][dc][dc][dc][D1 ~][dc][dc][dc][D2 ~][dc],0.0,1.0,1.0,5,70.79457144581458,99973,55421,0.3,0.0027541467461495175,2450,2450,False
[dc][D0][dc][dc][D5 D2 nor D18 D18 | |][dc][dc][dc][dc][dc][D1 D3 & ~][dc][dc][dc][dc][dc][D1][dc][D2][dc],1.0,1.0,1.0,5,58.75909016203383,99974,55895,0.25,0.002285926076978027,1359,1359,False
[dc][D16][dc][dc][dc][D3 ~ D3 D19 ~ nand &][dc][dc][dc][D2 ~][dc][dc][dc][dc][dc][dc][dc][dc][D1][D0],1.0,1.0,1.0,6,63.603361027609985,99999,61035,0.25,0.0029692613923502417,1203,1203,False
[D13 D1 nor ~][dc][dc][dc][dc][D0][dc][dc][dc][dc][D3][dc][dc][dc][D17 D2 nor ~ ~ D3 D18 nor D1 | nand][dc][dc][dc][dc][D2 ~ D13 D1 nor |],1.0,1.0,1.0,5,73.95285674066811,99994,65751,0.25,0.002877014658061243,2167,2167,False
[dc][dc][dc][dc][D5][dc][dc][dc][D0 ~][D1 ~][dc][D5][D5 D6 nor D2 nor][dc][dc][dc][dc][dc][D7 D0 & D3 |][dc],1.0,1.0,1.0,1,54.75323512959809,99993,66694,0.3,0.00042601697077511533,997,997,False
[D13 D18 D16 & nand][dc][dc][D15 ~][D3][dc][dc][dc][D2][dc][D3][dc][dc][dc][D2][dc][dc][D0 ~ ~][D5 D15 nand][D1 ~],0.0,1.0,1.0,1,65.16431985680899,99953,69818,0.45,0.000507022207588453,880,880,False
