Code Fragments,phenotype,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count,Epoch Complete
[dc][D7 D10 nor D10 D0 nand nor D1 D0 D8 & | nand ~][dc][dc][D2][D2][dc][dc][dc][dc][dc],1.0,1.0,1.0,8,81.94142400621561,99982,24549,0.2727272727272727,0.008892788242915083,6446,6446,True
[D3][D2 D4 D5 D5 nor D8 | nand nand][dc][dc][dc][D3][dc][D1 ~][D0 D0 D1 | nand][dc][D3],1.0,1.0,1.0,4,67.85787948738314,99971,50390,0.5454545454545454,0.0036821776056074848,4145,4145,True
[D2][D8 ~][dc][dc][D1 ~][D0 ~ D8 nor D8 D1 nand &][dc][dc][dc][dc][dc],0.0,1.0,1.0,1,74.63284534407389,99944,64264,0.36363636363636365,0.0010124520315279361,2309,2309,True
[D5][dc][D0 ~][D2 D10 D6 nand & ~][dc][D1][dc][dc][D0 ~][dc][dc],1.0,1.0,1.0,2,75.57440197374665,99979,64440,0.45454545454545453,0.0019119054600343047,3015,3015,True
[dc][D7 D10 nor D10 D0 nand nor D1 D0 D8 & | nand ~][dc][dc][dc][D2][dc][dc][dc][dc][dc],1.0,1.0,1.0,2,81.94142400621561,99982,66507,0.18181818181818182,0.0022231970607287706,2862,2862,True
[D5][D5 D3 & D3 ~ nand D2 D3 & D5 nand &][D0 ~][D2 D10 D6 nand & ~][D0 D5 & D4 ~ nand][D1][dc][dc][dc][dc][dc],1.0,1.0,1.0,2,72.96735090419645,99979,69412,0.5454545454545454,0.0018234888205676451,2328,2328,True
[D8 D8 & D1 D0 nand &][dc][dc][D0][dc][dc][dc][dc][D7 D2 nor ~][dc][dc],1.0,1.0,1.0,3,66.04722300930092,99961,69869,0.2727272727272727,0.002687944354965761,2812,2812,True
[D2 ~][dc][dc][D7 D0 &][dc][dc][dc][dc][dc][dc][D1 ~ D9 |],1.0,1.0,1.0,2,73.57065710516065,99974,70313,0.2727272727272727,0.0019960852598762562,2863,2863,True
[D6 ~][dc][dc][D2 D1 D1 & &][dc][dc][dc][dc][D0 ~][dc][D2 ~ ~],0.0,1.0,1.0,2,67.595612276808,99993,75584,0.36363636363636365,0.0018339730893688383,1595,1595,True
[D8 D8 & D1 D0 nand &][dc][dc][D9 D8 nand D0 D5 nand nor D0 nor ~][dc][dc][dc][dc][D7 D2 nor ~][dc][dc],1.0,1.0,1.0,3,66.04722300930092,99961,75651,0.2727272727272727,0.002687944354965761,2270,2270,True
[dc][dc][dc][dc][dc][D1 D8 D0 & D5 & | ~][dc][D0 D3 nor D2 |][D0 D4 | ~][dc][dc],0.0,1.0,1.0,1,72.28865333164052,99981,77770,0.2727272727272727,0.0009921803685307088,2101,2101,True
[dc][D1][D1][dc][D9 D7 | D4 D9 ~ nand |][D0 D10 D10 ~ nor |][D9 D1 nand ~ ~][dc][dc][D2 D10 nand][dc],0.0,1.0,1.0,1,74.82406893687391,99964,79327,0.5454545454545454,0.0010150461268503628,1511,1511,True
[dc][D7 D10 nor D10 D0 nand nor D1 D0 D8 & | nand ~][dc][D9 D8 nand D0 D5 nand nor D0 nor ~][D2][D2][dc][dc][dc][dc][dc],1.0,1.0,1.0,1,81.94142400621561,99982,80355,0.36363636363636365,0.0011115985303643853,1679,1679,True
[D2][D8 ~][dc][dc][D1 D10 D10 & nand][D0][dc][D0][dc][dc][dc],0.0,1.0,1.0,2,82.9174135965566,99989,80644,0.45454545454545453,0.002249677161787099,1832,1832,True
[dc][dc][dc][D0][D2][D2][dc][dc][D8 ~ D1 nor][dc][dc],1.0,1.0,1.0,4,67.24380664057016,99961,81476,0.36363636363636365,0.0036488561210307846,1148,1148,True
[D4 D9 D0 nand & D2 ~ D4 D4 & D2 D7 nand | nand &][dc][dc][dc][dc][dc][dc][D1 ~][D0 D0 D1 | nand][dc][dc],1.0,1.0,1.0,3,63.34276917320064,99996,81579,0.2727272727272727,0.002577880356953497,1112,1112,True
