Code Fragments,phenotype,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count,Epoch Complete
[dc][dc][dc][dc][D6 D3 ~ & ~][D7 D18 D7 D3 nand D15 & nand nand][dc][dc][D2][dc][dc][dc][dc][D0 D1 | ~][dc][dc][dc][dc][dc][dc],0.0,1.0,1.0,8,62.04584192119847,99971,54314,0.2,0.003955502129795147,2325,2325,False
[dc][dc][dc][dc][dc][D3][dc][dc][dc][dc][dc][dc][D3][dc][D5 D2 D1 nor nand D0 nor][dc][dc][dc][dc][dc],1.0,1.0,1.0,6,66.5324003898119,99962,58474,0.15,0.00318114449687688,1250,1250,False
[dc][D0 ~][D3][dc][D1 D11 nor ~ D8 D2 nand D13 nor ~ |][D2 D18 nand][dc][dc][D9][dc][D2 ~ D6 D13 D2 nand nor D10 nand &][dc][dc][D9][dc][dc][dc][dc][D1][dc],1.0,1.0,1.0,7,55.83608255907967,99984,64161,0.4,0.0031146692439449177,1111,1111,False
[dc][dc][dc][dc][dc][dc][dc][D3 D0 nor][dc][D1 D2 D8 | & ~][dc][dc][dc][dc][D4 D2 nor][dc][dc][dc][dc][dc],0.0,1.0,1.0,7,64.83647983935795,99998,70019,0.15,0.0036167327718169976,1401,1401,False
[dc][dc][dc][dc][dc][dc][dc][D3 D0 nor][dc][D1 D2 D8 | & ~][dc][D16 ~ D16 D3 | nand D8 D8 nor ~ D8 ~ D0 nand | nand ~ D0 D15 & D10 & |][dc][dc][D4 D2 nor][dc][dc][dc][dc][dc],0.0,1.0,1.0,5,64.83647983935795,99998,71993,0.2,0.002583380551297855,1313,1313,False
[dc][D19][dc][D2][D0][dc][dc][D3][dc][dc][D0][dc][dc][dc][D1][D11 ~ D2 D4 nor D16 D3 & & D18 D0 D18 nand | nand D4 D6 D3 nand | nor & ~][dc][D1][dc][dc],1.0,1.0,1.0,3,64.66010674748213,99960,72569,0.4,0.001545811826584286,831,831,False
[dc][dc][dc][D2][dc][D1 ~][dc][dc][dc][dc][dc][D2 ~ D0 nand D8 |][dc][dc][D3 ~][dc][D2][D14 D0 nand ~][dc][dc],1.0,1.0,1.0,3,83.15215722590668,99943,73310,0.3,0.001987896316778162,794,794,False
[dc][dc][dc][dc][D6 D3 ~ & ~][D7 D18 D7 D3 nand D15 & nand nand][dc][dc][D2][dc][dc][dc][D1 D0 D8 | D1 D16 nand nand ~ D13 D8 nor D0 D15 nor nand | nand D8 D14 | D11 nand |][D0 D1 | ~][dc][dc][dc][dc][dc][dc],0.0,1.0,1.0,5,62.04584192119847,99971,74444,0.25,0.002472188831121967,1301,1301,False
[dc][D0][dc][dc][dc][dc][D3 D1 nand ~][dc][dc][dc][dc][dc][D17 D17 D3 D19 nand D2 D5 nor D8 nor & ~ & nor][dc][dc][D2 ~][dc][D3][dc][dc],0.0,1.0,1.0,2,63.36693041855882,99985,74848,0.25,0.0010099308046602328,779,779,False
[dc][dc][dc][dc][dc][dc][dc][dc][D17 D0 nor D1 nor][dc][D13 D3 ~ D1 D15 & | D2 | nor][dc][dc][dc][dc][dc][D0][dc][dc][dc],0.0,1.0,1.0,4,60.49270113206275,99997,75331,0.15,0.0019082632641414063,794,794,False
[D13 D8 | ~ D2 ~ & D2 D15 | D16 | D2 D14 & D3 D1 nor | nand nor][dc][dc][dc][dc][dc][dc][dc][D2][dc][dc][dc][D14 ~][dc][D0 D1 nor ~ D1 |][dc][dc][dc][dc][dc],0.0,1.0,1.0,7,65.13099762406645,99983,75704,0.2,0.003633161673054038,794,794,False
[D2 D4 & D16 D16 nor & D2 nand][dc][dc][dc][dc][dc][dc][D2 D3 nor][dc][D0][dc][dc][D12][dc][dc][D3 D1 nor][dc][D13 D15 ~ nand D17 D7 | D9 D8 & nor D0 D1 & ~ | D9 D17 | | |][D19 D16 D4 D18 | nor nand][D12],1.0,1.0,1.0,3,56.6993926904392,99996,76169,0.4,0.001355497171127706,685,685,False
[dc][D11 D11 & D8 & D10 nand D3 |][dc][dc][dc][dc][dc][dc][dc][D0 ~][dc][D5 ~][dc][dc][dc][D2 ~][dc][D3][dc][D1 ~],0.0,1.0,1.0,2,59.654396080377516,99989,76385,0.3,0.0009507610963167453,755,755,False
[dc][D11 D1 D19 ~ nand D17 D4 & D1 D8 | nand D4 D17 & D14 & nand | D18 nor nand][dc][D1 D3 & ~][dc][dc][dc][dc][D17 D0 nor D1 nor][dc][D13 D3 ~ D1 D15 & | D2 | nor][dc][dc][dc][dc][dc][D0][dc][dc][dc],0.0,1.0,1.0,5,60.49270113206275,99997,77597,0.25,0.002385329080176758,734,734,False
[dc][D4][dc][D4 D11 nor ~ D14 ~ D2 | D4 D14 nor ~ & D11 D19 nor D9 D1 nand | nor nand][dc][dc][D0 ~][D2 D3 nor][dc][dc][dc][D1 D4 nand][dc][dc][dc][dc][dc][dc][dc][dc],1.0,1.0,1.0,1,63.40738955023551,99988,78509,0.25,0.0005052878175326533,702,702,False
[dc][dc][dc][dc][dc][D1 ~][dc][D2 D3 nor][dc][D0][dc][dc][dc][dc][dc][D3 D1 nor][dc][dc][dc][D12],1.0,1.0,1.0,2,56.0908138344865,99996,78871,0.25,0.0008939653597820373,640,640,False
[dc][dc][dc][dc][dc][D16][dc][D2 D3 nor][dc][D0][dc][dc][dc][dc][dc][dc][D1][dc][dc][dc],1.0,1.0,1.0,2,62.406218128214114,99981,79231,0.2,0.0009946191439876078,648,648,False
