Code Fragments,phenotype,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count,Epoch Complete
[dc][dc][dc][dc][D9 ~][dc][D3][dc][D1][dc][D2 D1 nand][dc][dc][dc][dc][dc][dc][dc][dc][D2 D19 D1 nor nor D0 nand],0.0,1.0,1.0,5,65.76410874011346,99957,43539,0.25,0.0027396730991520483,1778,1778,False
[dc][dc][dc][dc][dc][dc][D3][dc][dc][dc][dc][D1 D2 D12 nand nand D3 ~ D3 nand &][dc][dc][dc][dc][D0][dc][dc][D13 D2 nor],0.0,1.0,1.0,5,49.78746544757143,99996,48148,0.2,0.0020741006359670192,1629,1629,False
[dc][dc][dc][dc][D9 ~][dc][D3][dc][D1][dc][D2 D1 nand][dc][dc][dc][dc][dc][dc][dc][D2 D16 nand][D2 D19 D1 nor nor D0 nand],0.0,1.0,1.0,2,65.76410874011346,99957,56147,0.3,0.0010958692396608194,1358,1358,False
[dc][dc][D13 D13 | ~ D6 D19 | D13 ~ nor | D1 ~ |][dc][D0 ~][dc][dc][dc][dc][dc][D6][dc][D3 ~][dc][dc][D2][D0 D19 & ~][D1 ~][D6 ~ D3 D4 D6 | nand nand D3 nand][dc],1.0,1.0,1.0,2,48.23840472229455,99967,67140,0.4,0.0008038272686759231,1015,1015,False
[dc][D18 ~ D3 D8 D2 D19 & nand & |][dc][dc][dc][dc][D19 ~ D3 ~ nor ~][dc][dc][D1][D3 D10 D19 D2 nand nor ~ D13 ~ D7 nor nor & D1 ~ ~ nand][dc][dc][dc][dc][dc][D0][D2][dc][dc],0.0,1.0,1.0,4,69.33937474624352,99966,71968,0.3,0.002310892349564332,1780,1780,False
[dc][dc][D15][D6 D0 | D10 |][dc][dc][D3][dc][D15][dc][D2 D1 nand][D0][dc][dc][dc][dc][dc][dc][dc][D2 D17 D15 nor D14 D16 | nand ~ ~ &],1.0,1.0,1.0,3,58.36980954395176,99979,73987,0.35,0.001458979982307449,762,762,False
[dc][dc][D2 ~][dc][dc][D12 D13 nor D12 nor D13 D16 nor D3 nand D4 nand |][dc][dc][dc][D1 ~][dc][dc][dc][D0 ~][D3 ~][dc][dc][dc][dc][D4 ~],0.0,1.0,1.0,1,55.83533425667214,99991,74876,0.3,0.0004652098726059724,808,808,False
[dc][dc][D2 ~][dc][dc][dc][dc][dc][dc][D1 ~][dc][dc][dc][D0 ~][D3 ~][dc][dc][dc][dc][D4 ~],0.0,1.0,1.0,7,55.83533425667214,99991,75972,0.25,0.003256469108241807,771,771,False
[dc][dc][D3][dc][dc][D0][dc][dc][D2 D13 D13 nor nor][dc][D2 ~][dc][D6 D17 & D8 D13 nand D5 nor nand][dc][dc][dc][D0][D1 ~][dc][dc],1.0,1.0,1.0,2,48.85664806094258,99994,77669,0.35,0.0008141294512863039,680,680,False
[dc][dc][dc][dc][D0 ~][dc][dc][dc][dc][dc][D6][dc][D3 ~][dc][dc][D2][dc][D1 ~][dc][dc],1.0,1.0,1.0,4,48.23840472229455,99967,78251,0.25,0.0016076545373518462,656,656,False
[dc][D18][dc][D3 ~ ~ ~][dc][dc][dc][dc][dc][dc][D1 D2 D0 & &][dc][dc][dc][dc][dc][dc][dc][dc][dc],1.0,1.0,1.0,6,50.15149204275757,99995,78814,0.15,0.0025071187843482153,615,615,False
[dc][dc][D1 D1 | D10 D16 & D3 nor nor ~][dc][D19 D12 nand D19 nor D5 D3 nand D7 D4 & | nand D11 ~ nor D14 D0 | D3 & | D13 nand][dc][dc][dc][dc][dc][D2 D1 nand][dc][dc][D0 ~][D3 ~][D9 D3 D19 & D4 D4 | & D10 D5 nor D17 nor nand D18 D2 D12 & nand D0 D15 & ~ | nor & D8 ~ |][dc][dc][dc][D1],0.0,1.0,1.0,3,53.58764588652176,99965,79177,0.35,0.0013394476229795522,665,665,False
[dc][dc][D3][dc][dc][D0][D3][dc][D2 D13 D13 nor nor][dc][D10 D18 ~ nand D12 D18 | nor D13 D4 D9 | | | ~ ~][dc][dc][dc][dc][D0][D0][D1 ~][dc][dc],1.0,1.0,1.0,3,48.76413260075728,99994,79225,0.4,0.0012188817108529186,678,678,False
[dc][dc][dc][dc][D0 ~][dc][D3 D1 nand][dc][dc][dc][D6][dc][D3 ~][dc][dc][D2][dc][D1 ~][dc][D14 ~ D5 D1 nor D6 D7 | | D11 ~ nor nand],1.0,1.0,1.0,2,48.23840472229455,99967,80148,0.35,0.0008038272686759231,589,589,False
[D11 D0 & D17 ~ D8 D17 D9 | nand nand ~ nand][dc][dc][dc][D0 ~][dc][dc][dc][dc][dc][D6][dc][D3 ~][dc][dc][D2][dc][D1 ~][dc][dc],1.0,1.0,1.0,1,48.23840472229455,99967,81017,0.3,0.00040191363433796155,561,561,False
