Code Fragments,phenotype,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count,Epoch Complete
[dc][dc][D9 D0 | D2 | ~ D0 D1 nand |][dc][dc][dc][dc][dc][D1 D6 D5 D6 nor nand & D6 D1 nor D5 & D2 nor &][dc][D5],1.0,1.0,1.0,5,70.43043035558392,99992,11987,0.2727272727272727,0.0046378397328429325,6030,6030,True
[dc][dc][dc][dc][dc][D2][D0 D8 nand][D1 ~][D1 ~][D4 ~ D0 |][dc],0.0,1.0,1.0,5,76.54096208023853,99974,30224,0.45454545454545453,0.005040217890669332,9068,9068,True
[dc][D2 D4 D0 | D0 D6 nand nand &][dc][dc][dc][dc][D0 D8 nand][D1 ~][D1 ~][dc][dc],0.0,1.0,1.0,7,73.6857117114022,99948,38375,0.36363636363636365,0.006793079748478342,5898,5898,True
[D10 D1 & D3 D5 & & D1 nor][dc][D2 ~][D3 ~ ~][dc][dc][D4 D7 nand D0 & ~][dc][dc][D2 ~][dc],1.0,1.0,1.0,3,75.22758826686308,99993,46862,0.45454545454545453,0.0029722393809767074,4209,4209,True
[dc][D0 D1 nand][dc][D2 D6 D6 nor &][dc][D1][dc][dc][dc][dc][dc],0.0,1.0,1.0,7,77.39569886437206,99954,49691,0.2727272727272727,0.00713510316130309,3286,3286,True
[dc][dc][dc][D2 D0 ~ nor][dc][dc][D0 ~ D7 nor][dc][D1 ~][dc][dc],0.0,1.0,1.0,1,79.99439332892422,99964,56040,0.2727272727272727,0.0010535252274122627,2767,2767,True
[dc][D2][dc][dc][dc][D2][D0 D8 nand][D1 ~][D1 ~][dc][D4 D5 D0 nand nand],0.0,1.0,1.0,8,79.2521565750953,99948,59422,0.5454545454545454,0.008349999824150163,4652,4652,True
[dc][D2][dc][dc][dc][dc][D0 D8 nand][D1 ~][dc][dc][D4 D5 D0 nand nand],0.0,1.0,1.0,8,79.2521565750953,99948,62452,0.36363636363636365,0.008349999824150163,4309,4309,True
[dc][D2][dc][dc][dc][D2][D0 D8 nand][D1 ~][D1 ~][dc][dc],0.0,0.6826963756874912,0.6826963756874912,4,78.40533942772308,99974,62722,0.45454545454545453,0.004130389624246855,4841,7091,True
[dc][D2][dc][dc][dc][D2][D0 D8 nand][D1 ~][D1 ~][D4 ~ D0 |][dc],0.0,1.0,1.0,6,76.54096208023853,99974,63396,0.5454545454545454,0.0060482614688031995,4752,4752,True
[dc][dc][dc][dc][dc][D2][D0 D8 nand][dc][D1 ~][D4 ~ D0 |][dc],0.0,1.0,1.0,3,76.54096208023853,99974,68852,0.36363636363636365,0.0030241307344015997,4047,4047,True
[dc][dc][D1][dc][dc][dc][dc][dc][D2 D0 D1 & D10 & &][dc][dc],1.0,1.0,1.0,4,68.11670157293206,99973,69253,0.18181818181818182,0.003588384661915983,1699,1699,True
[D1 D2 nand][dc][dc][dc][dc][D0][D2 D8 &][dc][dc][dc][D0],1.0,1.0,1.0,1,72.25025473685432,99960,70517,0.36363636363636365,0.0009515350124508782,1835,1835,True
[dc][D2 D4 D0 | D0 D6 nand nand &][dc][dc][dc][dc][D0 D8 nand][D1 ~][D1 ~][D4 ~ D0 |][dc],0.0,1.0,1.0,3,73.6857117114022,99948,71723,0.45454545454545453,0.0029113198922050038,2698,2698,True
[dc][dc][dc][dc][dc][dc][dc][dc][D2 D0 D1 & D10 & &][dc][dc],1.0,1.0,1.0,7,68.11670157293206,99973,74672,0.09090909090909091,0.00627967315835297,1398,1398,True
[dc][D1 D2 D2 D10 ~ nand nand nor][dc][dc][dc][dc][D0 D8 nand][D1 ~][dc][D4 ~ D0 |][dc],0.0,1.0,1.0,1,76.80719591002241,99840,78172,0.36363636363636365,0.0010115498745678503,1398,1398,True
[dc][dc][D9 D0 | D2 | ~ D0 D1 nand |][dc][dc][dc][dc][dc][D1 D6 D5 D6 nor nand & D6 D1 nor D5 & D2 nor &][D2 D9 D0 & nor][D5 ~ ~ D2 ~ &],1.0,1.0,1.0,1,70.43043035558392,99992,78975,0.36363636363636365,0.0009275679465685867,1445,1445,True
[D1 D4 nor][D2][D4 D6 D4 nand |][dc][dc][dc][D0 D8 nand][D1 ~][D1 ~][dc][dc],0.0,1.0,1.0,2,76.53997119758444,99948,79202,0.5454545454545454,0.0020160610564417315,2026,2026,True
[dc][dc][D9 D0 | D2 | ~ D0 D1 nand |][dc][dc][dc][dc][dc][D1 D6 D5 D6 nor nand & D6 D1 nor D5 & D2 nor &][D2 D9 D0 & nor][D5],1.0,1.0,1.0,4,70.43043035558392,99992,81336,0.36363636363636365,0.0037102717862743466,1279,1279,True
[dc][dc][D9 D0 | D2 | ~ D0 D1 nand |][dc][dc][dc][dc][dc][D1 D6 D5 D6 nor nand & D6 D1 nor D5 & D2 nor &][dc][D5 ~ ~ D2 ~ &],1.0,1.0,1.0,3,70.43043035558392,99992,81397,0.2727272727272727,0.00278270383970576,1276,1276,True
