Code Fragments,phenotype,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count,Epoch Complete
[D3 D1 nand D4 D0 nand &][D1 ~][dc][D2 ~ D2 D0 & |][dc][dc],0.0,1.0,1.0,8,78.61658779835516,99993,59244,0.5,0.013466929731201355,8791,8791,True
[D5 ~ ~][dc][D5 ~ ~][D0 D3 | D1 &][dc][dc],1.0,1.0,1.0,4,83.8233495639122,99991,66499,0.5,0.007179420972241379,7225,7225,True
[dc][D2 D1 & D2 ~ nor][dc][dc][dc][D0 D0 & ~],1.0,1.0,1.0,5,66.77161481184079,99969,67265,0.3333333333333333,0.007148687302292814,3851,3851,True
[dc][D0 ~ D1 ~ nor][dc][D5 ~][dc][dc],0.0,1.0,1.0,3,83.03275570821972,99978,68280,0.3333333333333333,0.005333780302409022,4353,4353,True
[D1 ~][dc][D3 D1 & D4 ~ |][D2 ~ D2 D0 & |][dc][D1 D1 nand],0.0,1.0,1.0,3,89.88900161763983,99993,72096,0.6666666666666666,0.005774205398122391,3830,3830,True
[D3 D1 nand D4 D0 nand &][D1 ~][D4 D0 nand][D2 ~ D2 D0 & |][dc][dc],0.0,1.0,1.0,2,78.61658779835516,99993,74605,0.6666666666666666,0.003366732432800339,5477,5477,True
[dc][D2 D1 & D2 ~ nor][D0 D0 | ~][dc][dc][dc],1.0,1.0,1.0,2,66.77161481184079,99969,75123,0.3333333333333333,0.002859474920917126,2926,2926,True
[dc][D2 D1 & D2 ~ nor][D5 D1 nand][dc][dc][D0 D0 & ~],1.0,1.0,1.0,3,66.77161481184079,99969,76680,0.5,0.004289212381375689,2742,2742,True
[dc][D1 D4 D3 nand &][D3 D0 nor][dc][D3 D0 nor][dc],0.0,1.0,1.0,1,74.56377039137399,99999,77611,0.5,0.0015965858549623335,2633,2633,True
[D2 ~ D0 nor][D2 D1 & D2 ~ nor][dc][dc][dc][dc],1.0,1.0,1.0,1,66.77161481184079,99969,77904,0.3333333333333333,0.001429737460458563,2598,2598,True
[dc][D0 D1 &][D5 ~ ~][D2 D4 nand D4 D1 nor nand][dc][dc],1.0,1.0,1.0,1,86.07695481970586,99973,79617,0.5,0.0018431102368084234,2797,2797,True
[dc][dc][D1 D0 nand D5 ~ nand][D5 ~][dc][dc],0.0,1.0,1.0,2,83.03275570821972,99978,80775,0.3333333333333333,0.0035558535349393483,2638,2638,True
[D1 ~][D0 D4 &][dc][dc][D0 D4 D3 | &][dc],1.0,1.0,1.0,1,73.06536831151632,99989,82007,0.5,0.001564501539037992,2470,2470,True
[dc][dc][D3 D0 nor][D1 D1 & D1 &][D3 D0 nor][dc],0.0,1.0,1.0,7,74.56377039137399,99999,82477,0.5,0.011176100984736335,2062,2062,True
[D1 ~][D0 D4 &][dc][dc][dc][dc],1.0,1.0,1.0,6,73.06536831151632,99989,83747,0.3333333333333333,0.009387009234227953,2231,2231,True
[dc][D2 D1 & D2 ~ nor][D3 D2 nor D0 nor][dc][dc][dc],1.0,1.0,1.0,1,66.77161481184079,99969,84809,0.3333333333333333,0.001429737460458563,1787,1787,True
[D3 D1 D5 & nand][dc][D3 D0 nor][D1 D1 & D1 &][D3 D0 nor][dc],0.0,1.0,1.0,1,74.56377039137399,99999,85031,0.6666666666666666,0.0015965858549623335,1761,1761,True
[dc][dc][D0 D1 D0 & &][D5 ~][dc][dc],0.0,1.0,1.0,6,83.03275570821972,99978,85120,0.3333333333333333,0.010667560604818044,2042,2042,True
[dc][dc][D1 D0 nand D3 ~ &][D1 D1 & D1 &][D4 D1 nor ~][D0 ~],0.0,1.0,1.0,2,74.56377039137399,99999,85516,0.6666666666666666,0.003193171709924667,1703,1703,True
[D5 D1 ~ |][D0 D4 &][dc][dc][dc][dc],1.0,1.0,1.0,6,81.65512123738975,99989,85583,0.3333333333333333,0.010490570222124889,3110,3110,True
