Code Fragments,phenotype,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count,Epoch Complete
[dc][dc][D14][D1 ~][dc][dc][D2 ~ ~][dc][D14][dc][dc][D0][dc][D0][D3 ~][dc][dc][dc][D2 ~ ~][dc],1.0,1.0,1.0,6,59.534305442489746,99959,46349,0.4,0.002623506925164881,1683,1683,False
[dc][dc][dc][dc][dc][dc][dc][dc][dc][dc][dc][dc][dc][dc][D1 ~][dc][D0][D12 D3 nor][D2 D14 nand][dc],0.0,1.0,1.0,7,67.24441995910686,99993,50463,0.2,0.0034571479443976927,2316,2316,False
[D2 D1 D19 D1 nor nand | D2 ~ &][dc][dc][dc][D0 ~][dc][dc][D0 D1 |][dc][D9][dc][D3][dc][dc][dc][dc][dc][dc][dc][dc],1.0,1.0,1.0,4,59.81706264392957,99951,68009,0.25,0.0017573114853470589,1002,1002,False
[dc][dc][dc][dc][dc][dc][D0][dc][dc][dc][dc][dc][dc][dc][D1 ~][dc][D0][D12 D3 nor][D2 D14 nand][dc],0.0,1.0,1.0,9,67.24441995910686,99993,68118,0.25,0.00444490449993989,1497,1497,False
[dc][dc][D2][dc][dc][dc][D0][dc][dc][D18 D2 |][dc][dc][dc][D3][dc][D4 D0 nor D1 nor D19 ~ nor ~][D10 D2 | D12 |][D19 D2 nand][D1 D3 D18 | &][dc],0.0,1.0,1.0,3,66.96446966990375,99983,73813,0.4,0.0014754665281910026,834,834,False
[dc][dc][D1 ~ ~][dc][dc][dc][D0][dc][dc][dc][dc][dc][dc][dc][dc][D17 D0 D3 nand nor D14 D14 | D14 D1 nand nand ~ nor ~][dc][D19 D2 nand][dc][dc],0.0,1.0,1.0,2,72.04993173018677,99962,74117,0.2,0.0010583449516872751,1207,1207,False
[dc][D2 D6 & D17 D3 nand D8 D4 & & nor][dc][D3 ~][dc][dc][D4 D1 | ~ ~ D17 nand][D19 D2 nor D4 & D1 D3 | nor D17 nor ~][dc][D5 D3 & ~][D4 ~][dc][dc][dc][dc][D0 ~][dc][dc][D4 ~][dc],0.0,1.0,1.0,2,56.878886653952144,99953,74457,0.4,0.0008354967326441204,1215,1215,False
[dc][dc][dc][dc][dc][dc][dc][D12 D0 nor ~][dc][D0][dc][dc][dc][dc][D1 ~][dc][D0][D12 D3 nor][D2 D14 nand][dc],0.0,1.0,1.0,3,67.24441995910686,99993,75029,0.3,0.0014816348333132967,1162,1162,False
[dc][dc][dc][dc][dc][dc][dc][dc][dc][dc][D1 D9 nand][D2 D0 & D12 D6 & nand D1 D9 D8 nor nand &][dc][D0 D3 nor][dc][D2 D9 D8 nand D17 D15 nor nor D11 D8 nor nand D15 D11 | D19 D9 & nand nor | ~][dc][dc][dc][D4],1.0,1.0,1.0,5,71.40106603331773,99944,75913,0.25,0.002622034329762984,936,936,False
[dc][dc][dc][dc][dc][dc][dc][D9 D3 nand][dc][dc][D1][D1 D1 nor ~][dc][dc][dc][D2 D0 | ~][D1][dc][dc][D8 D0 D4 nand ~ ~ ~ nor],0.0,1.0,1.0,1,60.50795878056945,99978,76675,0.3,0.00044440217481488104,1065,1065,False
[dc][dc][dc][dc][D0 D0 nor][D2][dc][dc][dc][dc][dc][dc][D0 ~][dc][D10 ~][D3 D11 nand][D1][D14 D14 D1 nor nand][dc][dc],0.0,1.0,1.0,1,67.92340658683858,99999,76954,0.35,0.0004988651115714005,1064,1064,False
[dc][D8 ~][D17 D6 D5 nand | D9 ~ nor D14 D9 nor D6 ~ | D1 D5 D5 & | nor & ~][dc][dc][dc][dc][D9 D3 nand][dc][dc][D1][dc][dc][dc][dc][D2 D0 | ~][D1][dc][dc][D11 D3 | D9 D8 nand |],0.0,1.0,1.0,3,60.50795878056945,99978,77581,0.35,0.0013332065244446433,1004,1004,False
[dc][D4 D2 D10 nand |][D15 D3 nand D19 & D19 ~ D9 D10 nand D19 ~ & | nor D17 nand][D1 ~][D8 ~ D9 D16 nor D2 D10 nor D4 nor & |][dc][D2 ~ ~][D1 ~][D14][dc][dc][D0][dc][D0][D3 ~][dc][dc][dc][D2 ~ ~][D2],1.0,1.0,1.0,1,59.63138510245729,99937,78540,0.6,0.00043796415811775164,272,272,False
[dc][D15 D3 & ~][dc][dc][dc][dc][dc][dc][dc][dc][dc][dc][dc][dc][D1 ~][D0 D2 &][dc][dc][D2 D14 nand][dc],0.0,1.0,1.0,3,81.46406568807767,99994,79579,0.2,0.0017949444349461164,1053,1053,False
[dc][dc][D14][D1 ~][dc][dc][D2 ~ ~][D5 D6 D14 nor nand][D14][dc][dc][D0][dc][D0][D3 ~][dc][dc][dc][D2 ~ ~][dc],1.0,1.0,1.0,3,59.534305442489746,99959,79822,0.45,0.0013117534625824406,629,629,False
[D2 D1 D19 D1 nor nand | D2 ~ &][dc][dc][dc][D0 ~][dc][dc][D0 D1 |][dc][D9][dc][D3][dc][dc][D9][dc][dc][dc][dc][dc],1.0,1.0,1.0,2,59.81706264392957,99951,81280,0.3,0.0008786557426735294,590,590,False
