Code Fragments,phenotype,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count,Epoch Complete
[dc][D1 D4 D0 nand |][D0 D1 D5 nand &][dc][dc][dc],0.0,1.0,1.0,3,90.77518394605073,99990,19516,0.3333333333333333,0.006146403537693192,20515,20515,True
[dc][dc][D2 D1 nor][D0 D1 D1 | nor][dc][dc],0.0,1.0,1.0,1,93.20465225692523,99989,58395,0.3333333333333333,0.0021625755218920954,4079,4079,True
[dc][dc][D1 D0 nand ~][D5 D0 ~ |][D2 D5 | D3 D0 nor nand][dc],1.0,1.0,1.0,4,64.70671022593967,99980,64767,0.5,0.006050782738402769,4836,4836,True
[dc][D4 ~ D1 |][D0 D1 D5 nand &][dc][dc][dc],0.0,1.0,1.0,5,90.77518394605073,99990,68523,0.3333333333333333,0.01024400589615532,8024,8024,True
[D1 ~ D0 D2 nor &][dc][dc][dc][dc][dc],0.0,1.0,1.0,6,93.20465225692523,99989,70545,0.16666666666666666,0.012975453131352573,2888,2888,True
[dc][dc][D1 D0 nand ~][D5 D0 ~ |][dc][D1 D2 nor D0 D2 & nor],1.0,1.0,1.0,6,83.83774388837324,99957,77211,0.5,0.01175961438408224,1787,1787,True
[dc][dc][D5 D1 nand][D5 D0 | D0 nand][D3 D1 D1 nand |][D1 D2 nor D0 D2 & nor],1.0,1.0,1.0,1,74.68098417465254,99973,79635,0.6666666666666666,0.0017458715191711624,3592,3592,True
[D1 ~ D0 D2 nor &][dc][dc][D0 D1 D1 | nor][dc][dc],0.0,1.0,1.0,2,93.20465225692523,99989,79764,0.3333333333333333,0.004325151043784191,1984,1984,True
[dc][D4 ~ D1 |][D0 D1 D5 nand &][D1 D0 ~ nand][dc][dc],0.0,1.0,1.0,3,90.77518394605073,99990,83160,0.5,0.006146403537693192,4293,4293,True
[D4 D0 D3 | &][D1 D4 nor D1 nor][dc][D0 ~ ~][dc][dc],1.0,1.0,1.0,4,82.13324649744365,99975,83577,0.5,0.007669829293022356,2254,2254,True
[dc][D1 D4 nor D1 nor][dc][D0 ~ ~][dc][dc],1.0,1.0,1.0,1,82.13324649744365,99975,83969,0.3333333333333333,0.001917457323255589,2201,2201,True
[dc][dc][D1 D0 nand ~][D5 D0 ~ |][dc][dc],1.0,1.0,1.0,4,64.70671022593967,99980,84976,0.3333333333333333,0.006050782738402769,2060,2060,True
[dc][D1 D4 D0 nand |][D0 D1 D5 nand &][D4 ~ D2 D5 nand |][dc][dc],0.0,1.0,1.0,6,90.77518394605073,99990,87004,0.5,0.012292807075386384,3312,3312,True
[D0 D2 & D4 nand][D1 D4 D0 nand |][D0 D1 D5 nand &][D3 D3 ~ nand][dc][dc],0.0,1.0,1.0,2,92.30375938428408,99990,87852,0.6666666666666666,0.004107448724003217,2620,2620,True
[dc][dc][D1 D1 |][dc][D5 D1 & D0 D0 & nand][D3 ~ D0 ~ &],0.0,1.0,1.0,2,82.59022877088788,99979,88045,0.5,0.003911954439512393,1408,1408,True
[dc][dc][D1 D0 nand ~][D5 D0 ~ |][D2 D5 | D3 D0 nor nand][D1 D2 nor D0 D2 & nor],1.0,1.0,1.0,2,83.83774388837324,99957,89094,0.6666666666666666,0.003919871461360747,855,855,True
[D4 D0 D3 | &][D1 D4 nor D1 nor][dc][D1 ~][D0 D0 nor D4 nand][dc],1.0,1.0,1.0,1,82.13324649744365,99975,89214,0.6666666666666666,0.001917457323255589,1482,1482,True
[dc][dc][D0 D2 ~ nand][D4 D1 |][D1 D2 D0 | nor][dc],0.0,1.0,1.0,2,94.112499358407,99989,89315,0.5,0.004378209543740901,838,838,True
[D2 D1 nor][dc][D0 D2 ~ nand][D4 D1 |][dc][dc],0.0,1.0,1.0,1,94.112499358407,99989,89454,0.5,0.0021891047718704507,827,827,True
[dc][D4 ~ D1 |][D0 D1 D5 nand &][D2 D0 |][dc][dc],0.0,1.0,1.0,3,90.77518394605073,99990,89510,0.5,0.006146403537693192,2674,2674,True
[dc][dc][D1 D1 |][D0 ~][D3 ~][dc],0.0,1.0,1.0,1,82.59022877088788,99979,89812,0.5,0.0019559772197561965,1199,1199,True
[dc][dc][dc][D0 D0 | ~][D3 D1 D1 nand |][D1 D2 nor D0 D2 & nor],1.0,1.0,1.0,2,82.52059277200198,99973,89824,0.5,0.0038582874679002643,2591,2591,True
[dc][D4 ~ D1 |][D0 D1 D5 nand &][dc][dc][D1 D1 ~ |],0.0,1.0,1.0,2,90.77518394605073,99990,90122,0.5,0.004097602358462129,2518,2518,True
[dc][D5 ~][dc][D0 ~][D3 ~][D3 D0 nor D3 |],0.0,1.0,1.0,1,88.86124754961449,99989,90220,0.6666666666666666,0.002097465845055748,1151,1151,True
[D5 ~ D1 D1 | |][dc][D1 D1 |][dc][dc][D3 ~ D0 ~ &],0.0,1.0,1.0,1,82.59022877088788,99979,90250,0.5,0.0019559772197561965,1148,1148,True
[dc][D2 D5 nand ~][D1 D0 nand ~][D0 D1 nor D3 nand][D0 D0 &][dc],1.0,1.0,1.0,2,48.99714487971615,99980,90637,0.6666666666666666,0.0022908835685974695,550,550,True
[dc][dc][D3 D3 D0 | &][D5 D0 | D0 nand][D3 D1 D1 nand |][D1 D2 nor D0 D2 & nor],1.0,1.0,1.0,1,86.22440508190634,99962,91245,0.6666666666666666,0.002015730439999627,1884,1884,True
[D1 ~][dc][D5 D1 & D0 nand][D5 D0 | D0 nand][D3 D1 D1 nand |][D2 ~ ~],1.0,1.0,1.0,1,74.39841016841143,99973,91245,0.8333333333333334,0.0017392655817293004,1029,1029,True
[dc][dc][D1 D1 |][D0 ~][D3 ~][D3 ~ D0 ~ &],0.0,1.0,1.0,1,82.59022877088788,99979,91270,0.6666666666666666,0.0019559772197561965,1028,1028,True
[D3 D4 & D1 nand][D4 ~ D1 |][D1 D0 & D0 D0 nand nor][dc][dc][D0 ~ ~],0.0,1.0,1.0,1,78.87486614873681,99977,91418,0.6666666666666666,0.001843914939115864,1008,1008,True
[dc][dc][dc][D0 D1 D1 | nor][dc][dc],0.0,0.45454545454545453,0.45454545454545453,2,84.68934838317934,99989,91836,0.16666666666666666,0.003827479960758122,800,1760,True
