Code Fragments,phenotype,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count,Epoch Complete
[dc][dc][D2][dc][D4 D2 nand D8 | D0 | D8 |][dc][dc][D2][dc][dc][D8 D4 & D0 | D8 & D1 D8 D2 nand D10 D4 nand | & nor],0.0,1.0,1.0,7,86.45021065356111,99982,23701,0.36363636363636365,0.00668705369945911,9918,9918,True
[dc][D0][D10 D2 nand][D2 D2 nand D9 nand][dc][D1][D0][dc][dc][dc][dc],0.0,1.0,1.0,7,90.42453000523892,99967,33865,0.45454545454545453,0.0069944732733682015,8199,8199,True
[dc][D0 D1 D0 nor nor][dc][dc][dc][dc][D2][dc][D6 D1 ~ nor][dc][dc],0.0,1.0,1.0,4,82.2479368326143,99965,33870,0.2727272727272727,0.0036354294313220843,4315,4315,True
[dc][dc][D0 D1 D6 nand D0 & nand D3 D5 nor D8 nand D10 nor |][dc][dc][dc][D2][dc][D6 D1 ~ nor][dc][dc],0.0,1.0,1.0,3,82.68516778771532,99965,41922,0.2727272727272727,0.002741066561228935,4008,4008,True
[D2 D6 | D2 nand][dc][dc][dc][dc][D0][D4 D7 | D5 D5 nor D8 D4 nand nor nor D1 ~ D9 D0 | nand D6 D7 nor | nor][D7][dc][dc][D7],1.0,1.0,1.0,2,88.82530007126928,99987,44970,0.45454545454545453,0.0019630772671069556,3454,3454,True
[dc][D0][D10 D2 nand][D2][dc][D1][D0][D0][dc][dc][dc],0.0,1.0,1.0,2,87.93800618609913,99967,51330,0.5454545454545454,0.0019434676913011551,2941,2941,True
[dc][D1 D8 D10 nand &][D10 D2 nand][D2 D2 nand D9 nand][dc][dc][D0][dc][dc][D0][dc],0.0,1.0,1.0,4,90.47028066276027,99967,51330,0.45454545454545453,0.00399886408884299,5292,5292,True
[dc][D0 D1 D0 nor nor][D2 ~][D5 ~][dc][dc][dc][dc][dc][dc][dc],0.0,1.0,1.0,2,88.60622824018512,99908,53198,0.2727272727272727,0.0019582356855854773,2971,2971,True
[dc][D1 D3 D2 nand nand][D2][dc][D4 D2 nand D8 | D0 | D8 |][dc][dc][D2][dc][dc][D8 D4 & D0 | D8 & D1 D8 D2 nand D10 D4 nand | & nor],0.0,1.0,1.0,3,86.45021065356111,99982,57165,0.45454545454545453,0.0028658801569110474,5573,5573,True
[dc][dc][D2][dc][D4 D2 nand D8 | D0 | D8 |][dc][dc][D2][D1 D0 D9 nor ~ nand][dc][D8 D4 & D0 | D8 & D1 D8 D2 nand D10 D4 nand | & nor],0.0,1.0,1.0,4,86.45021065356111,99982,61375,0.45454545454545453,0.0038211735425480627,5019,5019,True
[dc][D1 D8 D10 nand &][D10 D2 nand][D2 D2 nand D9 nand][dc][dc][dc][dc][dc][D0][dc],0.0,1.0,1.0,4,90.47028066276027,99967,61574,0.36363636363636365,0.00399886408884299,4186,4186,True
[dc][dc][D2][dc][D4 D2 nand D8 | D0 | D8 |][dc][dc][D2][D7 D10 nand][dc][D8 D4 & D0 | D8 & D1 D8 D2 nand D10 D4 nand | & nor],0.0,1.0,1.0,3,86.68095128604068,99982,62079,0.45454545454545453,0.0028735293574742044,3638,3638,True
[D1 D10 D4 nor nand D9 ~ D10 nor |][dc][D2][dc][D4 D2 nand D8 | D0 | D8 |][dc][dc][D2][dc][dc][D8 D4 & D0 | D8 & D1 D8 D2 nand D10 D4 nand | & nor],0.0,1.0,1.0,1,86.45021065356111,99982,65584,0.45454545454545453,0.0009552933856370157,4474,4474,True
[dc][D2 ~][dc][dc][D7 D7 nand][dc][dc][dc][D0 D1 ~ &][D10 D1 & ~][dc],0.0,1.0,1.0,1,85.7511688135859,99997,65794,0.36363636363636365,0.0009475688232448206,2153,2153,True
[dc][D0][D10 D2 nand][D2 D2 nand D9 nand][dc][D1 ~ ~][D0][dc][dc][D0][dc],0.0,1.0,1.0,7,90.42453000523892,99967,68070,0.5454545454545454,0.0069944732733682015,3967,3967,True
[dc][dc][D0 D1 D1 & nand][dc][dc][dc][D2][dc][D6 D1 ~ nor][D1 D6 ~ |][dc],0.0,1.0,1.0,2,82.2479368326143,99965,68182,0.36363636363636365,0.0018177147156610422,2077,2077,True
[dc][D1 D1 D8 & D7 & D3 & nor][dc][dc][D4 D2 D2 nand | ~ D3 D1 & nor][dc][D2 D3 nor ~][dc][D0 ~][dc][dc],1.0,1.0,1.0,7,93.36190204469325,99981,69419,0.36363636363636365,0.007221683414495969,3742,3742,True
