Code Fragments,phenotype,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count,Epoch Complete
[dc][D2][D2][dc][dc][dc][D3][D15][dc][dc][dc][D0][D3][dc][dc][dc][dc][dc][D17 D0 | D11 D0 & ~ nor D1 D2 nand ~ nor][dc],1.0,1.0,1.0,10,57.23671932910207,99994,38523,0.35,0.004248172841310447,1912,1912,False
[D19][D0][dc][dc][dc][dc][D3][dc][dc][dc][dc][D1][dc][dc][dc][D2][dc][dc][D19][dc],1.0,1.0,1.0,5,66.56334695532111,99964,45232,0.3,0.0024702027481381477,1760,1760,False
[dc][D2][dc][dc][dc][dc][dc][D15][dc][dc][dc][D0][D3][dc][dc][dc][dc][dc][D17 D0 | D11 D0 & ~ nor D1 D2 nand ~ nor][dc],1.0,1.0,1.0,12,57.23671932910207,99994,50557,0.25,0.05376342564703177,1531,1531,False
[dc][dc][dc][D2][dc][dc][dc][dc][dc][dc][dc][D0][dc][D3 D18 nor D17 ~ ~ D0 | &][D2][D14 ~ D1 |][dc][dc][dc][dc],0.0,1.0,1.0,5,70.16800361975731,99976,57595,0.25,0.002603973557538125,1977,1977,False
[dc][dc][dc][D1][dc][dc][D0][D19 D11 nand D1 nor D17 nor ~][dc][dc][D3][dc][dc][dc][dc][D2 ~][D3][dc][dc][D3],1.0,1.0,1.0,5,57.75945340691991,99981,61367,0.35,0.00214348537240021,1223,1223,False
[dc][dc][dc][dc][dc][dc][dc][dc][dc][D1][dc][dc][D10 D16 | D0 | D0 nand][dc][D2 D9 & ~][D19 D15 ~ nor D4 ~ ~ & D12 nand D9 &][dc][D1 D4 D13 nor D4 nand |][D2 D16 nand D1 ~ & ~ D14 D16 & nor ~][D3],1.0,1.0,1.0,4,64.39914335179012,99993,65991,0.35,0.0019119103610233065,999,999,False
[D3 ~][dc][dc][dc][dc][dc][dc][D15 D2 D16 nor D2 D11 nor nand D12 D3 nand | D13 D1 nor D8 nor D0 D4 | D12 D11 nor nor nand nor & D18 |][dc][dc][D1][D0][dc][dc][dc][D2][dc][dc][dc][dc],1.0,1.0,1.0,4,59.52049658496152,99987,67134,0.25,0.0017670709296923744,1007,1007,False
[D3 ~][dc][dc][dc][D12 ~ D19 ~ | D11 D18 nand D6 & nor D0 ~ nand][dc][dc][D15 D2 D16 nor D2 D11 nor nand D12 D3 nand | D13 D1 nor D8 nor D0 D4 | D12 D11 nor nor nand nor & D18 |][dc][dc][D1][D0][dc][dc][dc][D2][dc][dc][dc][dc],1.0,1.0,1.0,3,59.52049658496152,99987,67397,0.3,0.001325303197269281,1000,1000,False
[dc][dc][dc][dc][dc][D7 ~ D3 | D1 nand][dc][dc][dc][D0][D3][D13][D2 ~][dc][dc][dc][dc][dc][dc][D3],1.0,1.0,1.0,2,59.58076034909588,99968,70371,0.3,0.000884430033539542,873,873,False
[dc][dc][dc][dc][dc][dc][dc][dc][dc][dc][dc][D0][dc][D3 D18 nor D17 ~ ~ D0 | &][D2][D14 ~ D1 |][dc][dc][dc][dc],0.0,1.0,1.0,4,70.16800361975731,99976,70654,0.2,0.0020831788460305,1397,1397,False
[D3 ~][D2][dc][D2][dc][dc][D3 D17 nand D7 D3 & |][dc][dc][dc][dc][D0][D14][dc][dc][dc][dc][dc][D17 D0 | D11 D0 & ~ nor D1 D2 nand ~ nor][dc],1.0,1.0,1.0,4,55.118345909895964,99998,72644,0.35,0.0016363779258977888,858,858,False
[D3 ~][dc][dc][dc][dc][dc][dc][D0 D4 |][dc][dc][D4][D9 D12 nand D17 ~ | D12 D3 D12 | nand | ~ D4 nor D2 ~ |][D10 D16 | D0 | D0 nand][D8 D1 ~ | D14 D17 nand D3 ~ nor D5 ~ & |][dc][dc][dc][dc][dc][dc],1.0,1.0,1.0,4,77.54028911402553,99983,72780,0.3,0.002302050531076314,1216,1216,False
[D3 ~][D2][dc][D2][dc][dc][dc][dc][dc][dc][dc][D0][D14][dc][D2][dc][dc][dc][D17 D0 | D11 D0 & ~ nor D1 D2 nand ~ nor][dc],1.0,1.0,1.0,2,55.118345909895964,99998,74913,0.35,0.0008181889629488944,798,798,False
[dc][dc][dc][dc][dc][D7 ~ D3 | D1 nand][dc][dc][dc][D0][D3][D13][D2 ~][dc][dc][dc][dc][dc][dc][dc],1.0,1.0,1.0,4,59.58076034909588,99968,75291,0.25,0.001768860067079084,719,719,False
[D3 ~][dc][D1][dc][dc][D11 ~ D3 D15 & nand][dc][dc][D10][dc][dc][dc][D10 D16 | D0 | D0 nand][dc][dc][D2][dc][dc][dc][dc],1.0,1.0,1.0,4,52.39527902899257,99985,75724,0.3,0.0015555343072968606,731,731,False
